Concept,Relation,Description,"Target object (should appear in the ""Concept list"")",Max Cardinality,Ordering Needed (applicable for concepts with Max cardinality over 1),"Other characteristics: symmetric, transitive, has some special behaviour or meaning?",Needed by,Standards
Mineral building product,subClassOf,,Building material,,,,,
Insulation material,subClassOf,,Building material,,,,,
Wood,subClassOf,,Building material,,,,,
Metal,subClassOf,,Building material,,,,,
Covering,subClassOf,,Building material,,,,,
Plastic,subClassOf,,Building material,,,,,
Component for window and curtain wall,subClassOf,,Building material,,,,,
Building service engineering,subClassOf,,Building material,,,,,
Binder,subClassOf,,Mineral building product,,,,,
Concrete aggregate,subClassOf,,Mineral building product,,,,,
"Brick, block and element",subClassOf,,Mineral building product,,,,,
Mortar and Concrete,subClassOf,,Mineral building product,,,,,
Asphalt,subClassOf,,Mineral building product,,,,,
Mineral wool,subClassOf,,Insulation material,,,,,
Expanded polystyrene,subClassOf,,Insulation material,,,,,
Extruded polystyrene,subClassOf,,Insulation material,,,,,
Polyurethane rigid foam,subClassOf,,Insulation material,,,,,
Rigid phenolic foam,subClassOf,,Insulation material,,,,,
Foam glass,subClassOf,,Insulation material,,,,,
Wood wool panels,subClassOf,,Insulation material,,,,,
Expanded perlit,subClassOf,,Insulation material,,,,,
Expanded cork,subClassOf,,Insulation material,,,,,
Wood fibre,subClassOf,,Insulation material,,,,,
Cellulose fibre,subClassOf,,Insulation material,,,,,
Flax fibre,subClassOf,,Insulation material,,,,,
Hemp,subClassOf,,Insulation material,,,,,
Cotton,subClassOf,,Insulation material,,,,,
Sheep wool,subClassOf,,Insulation material,,,,,
Urea formaldehyde resin,subClassOf,,Insulation material,,,,,
Melamine resin,subClassOf,,Insulation material,,,,,
Polyethylene,subClassOf,,Insulation material,,,,,
Rubber,subClassOf,,Insulation material,,,,,
Calcium silicate,subClassOf,,Insulation material,,,,,
Thermal insulation composite system,subClassOf,,Insulation material,,,,,
Straw,subClassOf,,Insulation material,,,,,
Silicium dioxide based,subClassOf,,Insulation material,,,,,
Insulation element,subClassOf,,Insulation material,,,,,
Solid wood,subClassOf,,Wood,,,,,
Derived timber products,subClassOf,,Wood,,,,,
Wooden floor,subClassOf,,Wood,,,,,
Steel and iron,subClassOf,,Metal,,,,,
Stainless steel,subClassOf,,Metal,,,,,
Aluminium,subClassOf,,Metal,,,,,
Copper,subClassOf,,Metal,,,,,
Zinc,subClassOf,,Metal,,,,,
Lead,subClassOf,,Metal,,,,,
Surface treatment and coating of metals,subClassOf,,Metal,,,,,
Primer,subClassOf,,Covering,,,,,
Floor finish,subClassOf,,Covering,,,,,
Bituminous paint,subClassOf,,Covering,,,,,
Facade paint,subClassOf,,Covering,,,,,
Interior covering,subClassOf,,Covering,,,,,
Varnish and stain,subClassOf,,Covering,,,,,
Reactive resin,subClassOf,,Covering,,,,,
Tube,subClassOf,,Plastic,,,,,
